,0
152,3352864.2810755526
153,10321467.5
154,778508.1909178467
155,7215620.0
156,1151458.8084978233
157,6930421.728301316
158,1033132.4974116045
159,1714777.1158141682
160,5575394.166666668
161,1936074.491676784
162,2881498.388278173
163,1543404.7365455732
164,1690368.6395603812
165,1189243.9202179604
166,2614275.841832059
167,2382179.7410588497
168,1525021.986790684
169,14849890.0
170,2410186.7226782558
171,4227247.5
172,2468615.2759610782
173,4072947.126288348
174,3318560.01808553
175,1408533.2330749873
176,657271.3876164522
177,7915499.102215596
178,1015538.3349968009
179,1911870.5042210743
180,2865569.4006490586
181,1877375.1615428256
182,15826008.952380955
183,1599780.0589760032
184,2348931.000712523
185,3641811.064193183
186,43079300.0
187,3546761.1523973076
188,2077418.2244784897
189,2358799.169300709
190,4262049.41665836
191,1239966.0413435209
192,1246563.7109231392
193,7887920.833333332
194,918772.0487768783
195,3051650.516178267
196,2319109.161217289
197,923883.7586703968
198,3272655.4813789153
199,948283.3871229389
200,1013152.6150006643
201,2528470.7568985773
202,3445621.286838444
203,5086672.243678811
204,3030546.5143989515
205,13734300.0
206,2495678.8260539416
207,3996122.5119047626
208,2473276.061682813
209,4040332.6558441557
210,936760.8217908246
211,8096260.0
212,2379486.872938737
213,2375783.5639477484
214,9878006.956196582
215,1590732.7503749863
216,4735416.014354758
217,769579.0671100217
218,1270998.0679584409
219,4801628.382781056
220,773187.0065541889
221,2206538.0130380066
222,1282657.8688792721
223,4465710.567396796
224,1505082.3320683138
225,2389880.5530366017
226,719409.4185086736
227,4918142.316590366
228,2112517.3610974983
229,8428331.774495319
230,1843437.7342541143
231,4067345.7788176904
232,2318275.1773222084
233,1146584.8096888335
234,3409905.7787154373
235,1056241.559627544
236,2185194.7015899806
237,2524689.3789295126
238,1397217.8655399543
239,11352727.5
240,1208504.2721551585
241,2403391.591874417
242,2628672.8378670365
243,3714248.5587819708
244,7859909.597142926
245,3630240.5529878614
246,1028417.3440747481
247,2352397.4257379184
248,3017021.855152072
249,3215897.2525067357
250,1005430.7827824344
251,1677689.8579314295
252,2187893.5073360335
253,3202974.9123162073
254,1918985.5616705993
255,1138318.2198185588
256,11515987.5
257,1116372.0083743485
258,1388290.5134073244
259,3136725.5229156804
260,3966747.804136929
261,13187874.486341696
262,2559052.4597113095
263,21017320.974025972
264,5830016.260547798
