,dummy_spring,sale_year,title,artist,artist_birth_year 1,artist_alive,Medium,execution_year,height,width,dummy_signed,num_owners,num_exhibits,num_lit,lot_number,house_estimate_lower,house_estimate_upper,sale_price,sold
46,0,2011,ABSTRAKTES BILD,128,1932,1,8,1988.0,122.0,102.0,1,4,1,0,30,1800000,2500000,4674500.0,1
47,0,2011,MICKEY MOUSE (MYTH SERIES),93,1928,0,7,1981.0,152.4,152.4,1,4,6,2,8,3000000,5000000,3442500.0,1
48,0,2011,1947-Y-NO. 2,101,1904,0,8,1947.0,176.5,149.9,1,1,1,0,12,15000000,20000000,31442500.0,1
49,0,2011,UNTITLED #282,41,1954,1,1,1993.0,228.6,152.4,0,2,1,0,5,700000,900000,818500.0,1
50,0,2011,PH-1033,101,1904,0,8,1976.0,237.5,210.8,1,1,1,0,13,10000000,15000000,19682500.0,1
51,0,2011,"ADS: BLACKGLAMA, REBEL WITHOUT A CAUSE (JAMES DEAN), VOLKSWAGEN, LIFE SAVERS, CHANEL, THE NEW SPIRIT (DONALD DUCK), VAN HEUSEN, PARAMOUNT, MOBIL, AND APPLE",93,1928,0,7,1985.0,55.9,55.9,1,1,2,0,56,3000000,4000000,3610500.0,1
52,0,2011,STUDY FOR TIGER,94,1923,1,0,1952.0,81.9,87.0,1,3,2,3,68,200000,300000,686500.0,1
53,0,2011,ABSTRAKTES BILD,128,1932,1,8,1997.0,260.0,340.0,1,4,2,2,33,9000000,12000000,20802500.0,1
54,0,2011,I ASSUME YOU DRINK MARTELL,129,1955,1,4,1986.0,116.5,151.6,0,5,5,5,6,600000,800000,722500.0,1
55,0,2011,ROMAN THREE #2,96,1903,0,8,1963.0,228.0,152.4,1,8,3,1,76,900000,1200000,630000.0,0
56,0,2011,UNTITLED (WOMAN IN A FOREST),133,1904,0,8,1963.0,73.7,86.4,1,4,2,0,17,2000000,3000000,3050500.0,1
57,0,2011,PH-351,101,1904,0,8,1940.0,104.1,95.3,1,1,4,3,14,1000000,1500000,1258500.0,1
58,0,2011,UNTITLED,117,1922,0,7,1980.0,96.5,68.6,1,1,2,1,69,600000,800000,1142500.0,1
59,0,2011,UNTITLED,111,1912,0,0,1951.0,44.1,56.5,1,6,5,2,73,800000,1200000,962500.0,1
60,0,2011,GRASSHOPPER,28,1959,1,8,1990.0,200.0,250.0,1,6,1,0,10,1200000,1800000,1426500.0,1
61,0,2011,SPRING,113,1912,0,8,1965.0,30.5,30.5,1,4,1,0,44,1000000,1500000,1142500.0,1
62,0,2011,MÖHRE,128,1932,1,8,1984.0,200.0,160.0,1,4,4,0,36,2500000,3500000,6242500.0,1
63,0,2011,THREE JACKIES,93,1928,0,7,1964.0,50.8,40.6,0,17,7,1,51,3000000,4000000,2882500.0,1
64,0,2011,RAIN (2),128,1932,1,8,1988.0,67.4,91.5,1,5,1,1,32,700000,900000,3218500.0,1
65,0,2011,STUDY FOR PORTRAIT,74,1909,0,8,1979.0,35.6,35.6,1,7,3,0,43,2500000,3500000,4394500.0,1
66,0,2011,HIGH WINDOWS (HAPPY LIFE),102,1965,1,2,2006.0,243.8,243.8,1,2,1,0,3,1000000,1500000,1370500.0,1
67,0,2011,THE LAST SUPPER,93,1928,0,2,1986.0,101.6,101.6,0,3,1,0,22,5500000,7500000,6522500.0,1
68,0,2011,UNTITLED,131,1923,0,9,1958.0,67.3,101.6,1,1,7,2,65,400000,500000,722500.0,1
69,0,2011,"AMPHETAMINES, MARBLE",136,1937,1,8,1969.0,50.8,61.0,1,14,3,1,55,800000,1200000,560000.0,0
70,0,2011,HOMAGE TO THE SQUARE: TWO GRAYS BETWEEN TWO YELLOWS,112,1888,0,8,1960.0,121.9,121.9,1,1,3,1,75,500000,700000,494500.0,1
71,0,2011,NOW,136,1937,1,7,1990.0,91.4,106.7,1,4,1,1,52,800000,1200000,1314500.0,1
72,0,2011,EMBRACEABLE YOU,73,1954,1,7,1994.0,240.0,200.0,0,2,1,0,63,350000,450000,698500.0,1
73,0,2011,THE BLACK SEA,59,1948,1,8,1986.0,215.9,445.8,1,2,2,3,58,2000000,3000000,1400000.0,0
74,0,2011,STUDY FOR THE UNATTAINABLE,116,1904,0,0,1945.0,61.0,45.7,0,1,7,5,71,600000,800000,542500.0,1
75,0,2011,TWO LIONS (AGAIN),49,1949,1,7,2007.0,203.2,304.8,1,2,1,0,2,500000,700000,818500.0,1
76,0,2011,ABSTRAKTES BILD,128,1932,1,8,1990.0,122.0,102.0,1,3,1,1,35,1800000,2500000,6354500.0,1
77,0,2011,UNTITLED (PLUM AND DARK BROWN),99,1903,0,8,1964.0,236.5,193.0,1,6,4,1,23,8000000,12000000,5600000.0,0
78,0,2011,WOMAN IN A ROWBOAT,133,1904,0,5,1964.0,142.2,90.2,1,7,3,0,72,700000,900000,722500.0,1
79,0,2011,UNTITLED,133,1904,0,0,1950.0,48.9,61.6,1,4,3,1,67,1200000,1800000,840000.0,0
80,0,2011,ELEPHANT FORDING A RIVER,74,1909,0,8,1952.0,198.0,137.0,0,6,6,4,47,4000000,6000000,5682500.0,1
81,0,2011,ABSTRAKTES BILD,128,1932,1,8,1992.0,200.0,160.0,1,6,2,2,31,5500000,7500000,14082500.0,1
82,0,2011,1949-A-NO . 1,101,1904,0,8,1949.0,236.2,200.7,1,1,3,0,11,25000000,35000000,61682500.0,1
83,0,2011,CHATHAM X: BLACK RED,94,1923,1,8,1971.0,274.3,243.2,1,12,3,2,24,4000000,6000000,4282500.0,1
84,0,2011,RAPE OF ROMAN TORSOS,58,1960,0,7,1982.0,213.4,137.2,1,3,2,3,59,2000000,3000000,2098500.0,1
85,0,2011,DIAMOND DUST SHOES,93,1928,0,7,1980.0,228.6,177.8,0,2,4,1,53,1800000,2500000,2098500.0,1
86,0,2011,DOLLAR SIGN,93,1928,0,7,1982.0,25.1,20.3,1,1,4,0,1,250000,350000,698500.0,1
87,0,2011,DOLLAR SIGN,93,1928,0,7,1981.0,229.0,178.0,1,7,1,0,54,3500000,4500000,3610500.0,1
