,0
145,3946499.7981424415
146,4180268.5309277023
147,3507965.0473057646
148,3217944.7172757
149,2970748.9023095644
150,4846637.859320724
151,11138449.610615378
152,5215733.284139429
153,9688994.444819821
154,736768.5334905892
155,1576180.417963115
156,5438761.877193701
157,6001986.09300106
158,3558805.715019914
159,2109665.0636425945
160,3175138.690744647
161,2067924.6661271073
162,6826232.642229103
163,4361378.695804958
164,2934040.9713438586
165,3271120.956282467
166,1186045.2209583651
167,11681801.040043289
168,3354707.0281866277
169,5216617.9355500555
170,2647892.4793389593
171,3150991.5355327036
172,3299888.3791292133
173,8586854.014640793
174,3554668.637502887
175,5124332.949947112
176,1325200.4264564218
177,4725380.768441108
178,3840449.773351192
179,3420473.155290867
180,1298505.522788029
181,2312920.688235096
182,1921010.1914719203
183,2002776.4424610958
184,8236780.444248324
185,5415055.278332778
186,4370361.08402359
187,2585343.3431804436
188,3512846.8699486908
189,5210333.481210348
190,5197664.717904161
191,1167757.5762578545
192,2420729.4515456147
193,9043053.162412068
194,1166368.0491877021
195,4900955.989010988
196,3168203.6763215093
197,2883968.5939122057
198,3043254.7240543677
199,1796256.4448345115
200,2111190.8883901383
201,2147792.037425443
202,20230378.636696972
203,3947279.001201184
204,2894081.5712617566
205,4656731.727105784
206,5146098.389932131
207,1664578.5936662718
208,3006651.2390117394
209,1314598.2293825073
210,1246929.5171139643
211,7670448.225791639
212,3044475.2829325693
213,1618938.0459346187
214,12121637.238980142
215,1810896.4651172208
216,3896208.621394085
217,941937.2125243655
218,1279436.7031677475
219,5247624.50247834
220,3000915.1137206154
221,2443154.939837755
222,2836889.032597238
223,18198816.15100963
224,1868532.9086517394
225,4661284.641183367
226,2244498.429702441
227,9415634.599386724
228,8563152.814879486
229,4440304.668453001
230,4985725.145182679
231,819518.501735155
232,2437350.281792666
233,2262612.139990714
234,19498398.145440575
235,1205430.8614326466
236,1776249.604497986
237,2769444.454787821
238,3299570.4194424306
239,8496941.684801469
240,1442479.9830316082
241,2593287.2131163836
242,6251664.017893341
243,2039432.2036481812
244,6607040.63888581
245,3211497.6956925993
246,2211398.9284474896
247,5026264.610627025
248,3876647.068877242
249,2063874.2679934106
250,2414248.2894197493
251,3651643.725984745
252,2626599.933735795
253,3258730.0835280353
254,751179.1087852973
255,3332233.4134474015
256,4924470.3669501655
257,11867418.476190474
258,1754026.3895526282
259,3831609.738756782
260,2516770.894156434
261,14322689.49973004
262,3771446.20520845
263,15383098.034415415
264,6846207.5103522
265,5297907.631767696
266,9363026.298424127
267,12397527.340507858
268,7055943.247692466
269,2907856.6208885377
270,1632364.9374769258
271,2149721.413404165
272,2346856.155560554
273,3270976.0313442918
274,8251587.951909202
275,1122368.35615712
276,1721296.882203781
277,1864448.2953859207
278,4544751.232089021
279,2738096.511998236
280,2604008.0946806776
281,12618721.494422995
282,13404610.069434242
283,4411275.272761321
284,706370.3567481452
285,2078620.3857808865
286,13866066.940485876
287,6781574.855239827
288,2998685.875516874
289,13850889.146302624
290,1564918.6442121314
291,5352603.229473
292,4319750.364716783
293,6159850.307789433
294,7743065.121598392
295,5578132.771809426
296,4833590.16017316
297,2719275.942863781
298,1171584.727147986
299,1746413.9912351111
300,11093729.514641182
301,2397308.9201615
302,2876525.4614665727
303,8516881.01560751
304,2824113.9714952083
305,1977434.1460344114
306,11657286.33897565
307,3286062.336791692
308,2072009.8431192988
309,3027634.0414754855
310,4738690.8415289195
311,7561626.277068839
312,3094996.97649328
313,2425238.666877387
314,7312309.11827459
315,12478901.27698677
316,7353046.183335055
317,4579703.34426844
318,1781044.8238586308
319,2321885.858430901
320,2716834.016798177
321,5543760.938712376
322,7711833.484247235
323,3495482.686215287
324,2808877.5247956533
325,2783816.244658253
326,1995668.4206389356
327,4082370.4998490065
328,3310996.356079106
329,2101387.1335298982
330,1722369.706155718
331,5113438.203565517
332,3917343.3209429774
333,6795362.348935133
334,2269783.120746084
335,1959412.08916642
336,691189.7556504292
337,2113710.2257962083
338,8237755.7152669225
339,1285163.7860832328
340,2144939.0559187005
341,13750527.337857338
342,3420325.0973489173
343,3347624.467085299
344,2925219.1101673925
345,3166533.2738119066
346,3479481.6904811733
347,9639175.105823873
348,2603269.6461793827
349,5102927.575138447
350,3270703.7591398396
351,4388969.071198771
352,11929331.076499278
353,3440088.194361944
354,6419257.015552618
355,5753789.386206865
356,3062144.960864167
357,5476654.272045711
358,3108430.3062103633
359,3314576.3761936086
360,3908640.5963417063
361,1002896.4191456549
362,11662451.639394881
363,2851582.051881669
364,1982022.4509786556
365,1354165.7902739865
366,3182494.160959712
367,7289487.081840711
368,3651391.915869253
369,7029608.090494564
370,1590167.56202392
371,3424651.0786890113
372,3035090.9363797307
373,821686.4976541346
374,8986619.20730178
375,1431552.1786178765
376,3820263.1608662144
377,2181865.7698408477
378,2256403.603758295
379,4042510.5892161806
380,15212883.736924702
381,2570851.4410272897
382,2188057.2225853666
383,4606704.198802921
384,5721399.5284985555
385,871379.6455682435
386,3946055.703893434
387,2856601.6174673694
388,1718868.3470500098
389,3591966.890444522
390,3894744.4963054555
391,5521377.88477686
392,1398245.4837400785
393,1002533.6971555449
394,6622793.572494173
395,12160634.88095238
396,1422818.9982533145
397,9084087.843485195
398,8536437.527777778
399,3014060.8073007953
400,3357862.189714068
401,7187306.207655766
402,4280300.985355171
403,3914083.5708364616
404,7325428.601398603
405,2238526.2737513203
406,2090375.8395786555
407,1968911.9867264426
408,3984029.0427053664
409,2299500.595477351
410,1687658.9799652416
411,4029404.79280605
412,2174632.3992175655
413,1872549.9795814315
414,1265974.1277064055
415,1454763.3957018796
416,3330922.8176408214
417,4634305.534325181
418,2038296.5724851764
419,2642555.706706127
420,8819760.314983165
421,1866773.7582184477
422,4818564.036948237
423,18360794.023964692
424,18222929.20695971
425,4797294.890096269
426,4799410.446029734
427,5964883.4584535835
428,1423490.5433740714
429,5949887.733305347
430,4600016.810580832
431,11676761.427291103
432,7285410.122125999
433,5727588.518385397
434,6399192.880128205
435,5149337.245930475
436,13209328.094742296
437,4460251.52999038
438,3468526.449994449
439,3016041.9105666913
440,1343842.9205997586
441,7328997.51082251
442,14356292.828977328
443,5897121.649087055
444,5529656.553446553
445,5679944.220690203
446,2423023.534598997
447,3653605.257222288
448,4674679.200230579
449,8912340.710651211
450,5184040.278977329
451,2696112.989046863
452,5963995.127573176
453,11380973.594278693
454,2860184.7973737656
455,9095653.551216949
456,1894661.2634614122
457,2247881.7452044147
458,8039930.844120693
459,2435471.045419384
460,1750614.6900525282
461,10876814.840344716
462,1646293.286075786
463,15175530.655411255
464,3093163.1664602053
465,2673567.4188319193
466,6041290.337458292
467,2453552.8679994065
468,7567236.279549863
469,7740815.331909455
470,8260490.35088245
471,5127627.006979948
472,2529743.722639542
473,18236647.15315315
474,830746.3601226823
475,5729411.999980181
476,12928066.904761903
477,1856481.4964071212
478,6871723.627994228
