,0
0,1353522.3316389928
1,1214966.504166914
2,6589247.5
3,1353522.3316389928
4,42154895.357142866
5,1235628.6343133673
6,2637033.563524714
7,2225295.8453904344
8,983360.2918304893
9,1246980.9094450383
10,1123459.955088069
11,2225295.8453904344
12,2434047.49374808
13,2225295.8453904344
14,6589247.5
15,1936181.8977402605
16,7883178.373848373
17,2171571.89770313
18,1377060.9797713775
19,10839421.000452848
20,2171571.89770313
21,12364757.08333333
22,1266397.0582757203
23,2908100.4702820475
24,3516684.272345083
25,3410862.777387817
26,1479360.985219505
27,3186671.221814881
28,1243337.676538751
29,1353522.3316389928
30,2434047.49374808
31,3785967.8037665226
32,5113863.475595869
33,2637033.563524714
34,2171571.89770313
35,5574945.174766538
36,1353522.3316389928
37,1123459.955088069
38,635323.6506310543
39,841400.7734487734
40,2843406.8685726034
41,1123459.955088069
42,699305.1097562569
43,1166495.1138595352
44,3785967.8037665226
45,2434047.49374808
46,5830452.956918082
47,2434047.49374808
48,5815240.488547401
49,651944.8128511868
50,3901921.8996593584
51,3492535.941327071
52,605670.5094926215
53,7883178.373848373
54,802827.0384129467
55,1191026.1642490064
56,3074162.704985258
57,1377060.9797713775
58,1093650.764790765
59,1109992.5333131242
60,737753.5080246553
61,983360.2918304893
62,3583234.2802566914
63,3509593.314001358
64,2434047.49374808
65,3474084.289818645
66,1266397.0582757203
67,3492535.941327071
68,2782520.2285459633
69,737753.5080246553
70,2208198.951035076
71,1510788.6548249882
72,1056175.7754476147
73,1266397.0582757203
74,2225295.8453904344
75,2171571.89770313
76,2434047.49374808
77,3129658.8885836387
78,709638.2521284128
79,983360.2918304893
80,3074162.704985258
81,5113863.475595869
82,6860000.219326568
83,1266397.0582757203
84,2225295.8453904344
85,2171571.89770313
86,683287.1897440988
87,3583234.2802566914
88,672987.3682588942
89,1377060.9797713775
90,1617273.4362786293
91,1604582.453345296
92,638407.2699081963
93,1109992.5333131242
94,2208198.951035076
95,1604582.453345296
96,3691025.570010056
97,1056175.7754476147
98,1054637.8478906716
99,1510788.6548249882
100,1109992.5333131242
101,983360.2918304893
102,1619106.7083231094
103,2469440.209301712
104,15782724.021645024
105,22148918.283383284
106,2208198.951035076
107,21124001.268176273
108,1123459.955088069
109,8702411.496490568
110,2434047.49374808
111,785846.7037105053
112,737753.5080246553
113,1109992.5333131242
114,1123459.955088069
115,1716721.6505723975
116,997579.4286196262
117,1109992.5333131242
118,1649819.2130488104
119,2908100.4702820475
120,13817866.666666668
121,10839421.000452848
122,1221563.58677597
123,1604582.453345296
124,1716721.6505723975
125,1221563.58677597
126,2908100.4702820475
127,2434047.49374808
128,3074162.704985258
129,1617273.4362786293
130,1617273.4362786293
131,2208198.951035076
132,3186671.221814881
133,3492535.941327071
134,5052503.767371713
135,1054637.8478906716
136,3186671.221814881
137,3833770.646520146
138,2908100.4702820475
139,3691025.570010056
140,2434047.49374808
141,841400.7734487734
142,5815240.488547401
143,1246980.9094450383
144,5950674.914821289
145,2208198.951035076
146,2434047.49374808
147,2908100.4702820475
148,1820993.4106893707
149,2434047.49374808
150,30383353.333333336
151,2434047.49374808
152,10166700.0
153,1054637.8478906716
154,5684839.537698414
155,1377060.9797713775
156,6860000.219326568
157,1147672.3154557713
158,1221563.58677597
159,5950674.914821289
160,1655600.4462788342
161,2908100.4702820475
162,785846.7037105053
163,1820993.4106893707
164,1056175.7754476147
165,2782520.2285459633
166,2304725.1650078422
167,1353522.3316389928
168,17950450.0
169,2225295.8453904344
170,5052503.767371713
171,2225295.8453904344
172,3516684.272345083
173,2652282.7111528823
174,841400.7734487734
175,671275.4036965691
176,6589247.5
177,1266397.0582757203
178,2304725.1650078422
179,3516684.272345083
180,1617273.4362786293
181,15782724.021645024
182,1221563.58677597
183,3053281.9118448556
184,3074162.704985258
185,47592900.0
186,2225295.8453904344
187,2171571.89770313
188,2208198.951035076
189,5684839.537698414
190,633435.0587337405
191,1056175.7754476147
192,12364757.08333333
193,983360.2918304893
194,2782520.2285459633
195,2208198.951035076
196,983360.2918304893
197,2782520.2285459633
198,651944.8128511868
199,651944.8128511868
200,2304725.1650078422
201,3691025.570010056
202,5052503.767371713
203,3074162.704985258
204,12364757.08333333
205,2304725.1650078422
206,2782520.2285459633
207,2225295.8453904344
208,2897087.2019059374
209,1353522.3316389928
210,5684839.537698414
211,2208198.951035076
212,2208198.951035076
213,6589247.5
214,1510788.6548249882
215,5052503.767371713
216,1036530.1067821069
217,1246980.9094450383
218,5052503.767371713
219,709638.2521284128
220,2434047.49374808
221,1300753.526983494
222,3509593.314001358
223,1820993.4106893707
224,2225295.8453904344
225,1123459.955088069
226,5052503.767371713
227,2171571.89770313
228,10588305.56926407
229,1617273.4362786293
230,3509593.314001358
231,2171571.89770313
232,1054637.8478906716
233,3819389.5739260744
234,1056175.7754476147
235,2782520.2285459633
236,2434047.49374808
237,1353522.3316389928
238,14019683.333333332
239,1123459.955088069
240,2225295.8453904344
241,2225295.8453904344
242,3074162.704985258
243,8843937.052495962
244,3076453.741758242
245,1266397.0582757203
246,2208198.951035076
247,2782520.2285459633
248,3076453.741758242
249,1246980.9094450383
250,1678076.1569896683
251,6589247.5
252,1716721.6505723975
253,1619106.7083231094
254,1221563.58677597
255,10166700.0
